IDPOLUICAO;LAT;LONG
1;-23,6445565;-46,7924385
2;-23,541873;-46,6875498
3;-23,5459223;-46,7571094
4;-23,6315231;-46,6807452
5;-23,5592883;-46,776588
6;-23,586014;-46,815086
7;-23,5388578;-46,8826726
8;-23,5982814;-46,7516667
9;-23,5424606;-46,7765846
10;-23,562047;-46,7483722
11;-23,5802874;-46,7124904
12;-23,5235984;-46,8197418
13;-23,5652263;-46,7563129
14;-23,5784501;-46,7360417
15;-23,6197783;-46,7829127
16;-23,6117753;-46,7788651
17;-23,6343195;-46,6920129
18;-23,639694;-46,559578
19;-23,5795762;-46,8768551
20;-23,5322114;-46,7601462
21;-23,5717587;-46,7308495
22;-23,6116045;-46,7464132
23;-23,6217946;-46,6863552
24;-23,5137377;-46,7165666
25;-23,5352614;-46,6405161
26;-23,644191;-46,7965138
27;-23,5939877;-46,7579569
28;-23,5631198;-46,7726629
29;-23,5667592;-46,6794937
30;-23,5266636;-46,8014908
31;-23,5343861;-46,8330597
32;-23,7353911;-46,6990223
33;-23,5769656;-46,7604405
34;-23,5689589;-46,6569721
35;-23,5726483;-46,92231
36;-23,6127056;-46,779215
37;-22,0087175;-47,8909142
38;-23,601834;-46,629172
39;-23,531693;-46,789925
40;-23,5968756;-46,6459522
41;-23,5655495;-46,7473112
42;-23,6621987;-46,4297389
43;-23,602157;-46,7956652
44;-23,5392958;-46,3978346
45;-23,534908;-46,672581
46;-23,5627599;-46,7450585
47;-23,607832;-46,75288
48;-23,4493755;-46,716918
49;-23,587799;-46,792729
50;-23,6018264;-46,8400149
51;-23,5896609;-46,6083071
52;-23,1987016;-46,9156207
53;-23,5921792;-46,7205465
54;-23,572045;-46,75155
55;-23,5728283;-46,7459185
56;-23,5684488;-46,7483239
57;-23,615521;-46,6113367
58;-23,5682505;-46,6882323
59;-23,5655592;-46,7537196
60;-23,6104661;-46,7347955
61;-23,5442783;-46,8046796
62;-23,5757305;-46,8553616
63;-23,6675364;-46,7403386
64;-23,5540699;-46,6136476
65;-23,5134404;-46,7762449
66;-23,555832;-46,7585699
67;-23,411086;-46,7401863
68;-23,563438;-46,7566202
69;-23,5845123;-46,6350665
70;-23,57714;-46,728669
71;-23,6344712;-46,6616079
72;-23,519222;-46,836739
73;-23,531693;-46,789925
74;-23,519222;-46,836739
75;-23,593683;-46,7670154
76;-23,5625648;-46,6775544
77;-23,5648216;-46,7649616
78;-23,5771658;-46,7676798
79;-23,5903882;-46,7165553
80;-23,5073982;-46,6633194
81;-23,6578474;-46,5968535
82;-23,6008453;-46,7524806
83;-23,5702665;-46,7275459
84;-23,5631552;-46,7260923
85;-23,5081684;-46,516347
86;-23,6185038;-46,7585198
87;-23,4790357;-46,697622
88;-23,5953639;-46,9053279
89;-22,724014;-47,65402
90;-23,5488448;-46,7523615
91;-23,5402549;-46,222045
92;-23,4903822;-46,4209195
93;-23,5825818;-46,7671987
94;-23,4786006;-46,7477383
95;-23,6629128;-46,7678926
96;-23,4987883;-46,6146886
97;-23,5848984;-46,7902163
98;-23,624725;-46,7794635
99;-23,5912018;-46,7859672
100;-23,5350015;-46,6696849
101;-23,6249396;-46,591893
102;-23,5722922;-46,730942
103;-23,6392621;-46,7619671
104;-23,4625781;-46,5604683
105;-23,5503569;-46,7819362
106;-23,576318;-46,7514668
107;-23,5422579;-46,78897
108;-23,5622961;-46,7457026
109;-23,5837917;-46,7646092
110;-23,5523843;-46,7565552
111;-23,5735351;-46,7298171
112;-23,5603321;-46,757341
113;-23,21497;-47,523834
114;-23,5552884;-46,6956815
115;-23,5793126;-46,7220831
116;-23,6462799;-46,667473
117;-23,4669713;-46,6634011
118;-23,5397144;-46,655639
119;-23,597745;-46,7666575
120;-23,5838123;-46,7629173
121;-23,5603051;-46,6885331
122;-23,5511554;-46,9402222
123;-23,5631177;-46,6892828
124;-23,5999934;-46,7583561
125;-23,1774237;-46,8848749
126;-23,5706661;-46,7296855
127;-23,531693;-46,789925
128;-23,570321;-46,7317785
129;-23,566002;-47,088802
130;-23,5762116;-46,6145311
131;-23,5645038;-46,7431141
132;-23,5321804;-46,7946376
133;-23,5651684;-46,7915621
134;-23,5709479;-46,7299092
135;-23,6625021;-46,6364139
136;-23,6130779;-46,6881822
137;-23,5847602;-46,7893772
138;-23,6211615;-46,6822333
139;-23,5802094;-46,8148509
140;-23,572629;-46,749278
141;-23,56227;-46,6309465
142;-23,5701299;-46,7255196
143;-23,5926312;-46,7886276
144;-23,551579;-46,6394907
145;-23,5484809;-46,6503322
146;-23,6167851;-46,7834234
147;-23,5900576;-46,6174319
148;-23,5620972;-46,7449477
149;-23,5822858;-46,4526894
150;-23,5766183;-46,7475494
151;-23,5590953;-46,7508866
152;-23,6149969;-46,8954914
153;-23,5457595;-46,7709432
154;-23,5686488;-46,7437382
155;-23,5743728;-46,7392957
156;-23,4972011;-46,7416521
157;-23,574247;-46,723675
158;-23,634049;-46,6398802
159;-23,5705211;-46,7599013
160;-23,5937476;-46,6782179
161;-23,6608142;-46,6793699
162;-23,6313832;-46,6488105
163;-23,6242274;-46,7995606
164;-23,5729362;-46,7364378
165;-23,658744;-46,801242
166;-23,5618036;-46,7951704
167;-23,5589662;-46,4254943
168;-23,5821295;-46,9162644
169;-23,6267735;-46,647326
170;-23,5507618;-46,7834123
171;-23,6198804;-46,7843642
172;-23,5270808;-46,8201777
173;-23,5865931;-46,7224338
174;-23,5988813;-46,7512147
175;-23,5643846;-46,7913119
176;-23,5698709;-46,7531742
177;-23,5710255;-46,7323767
178;-23,5973292;-46,7950154
179;-23,5825752;-46,420832
180;-23,571695;-46,77737
181;-23,5698391;-46,7451326
182;-23,5921092;-46,6352744
183;-23,605528;-46,483894
184;-23,5428193;-46,7198817
185;-23,5525085;-46,7524444
186;-23,5514467;-46,8135225
187;-23,571916;-46,7290113
188;-23,6236371;-46,7913809
189;-23,5454828;-46,4919767
190;-23,5786191;-46,7771713
191;-23,607832;-46,75288
192;-23,5701776;-46,7127751
193;-23,587799;-46,792728
194;-23,5756152;-46,7796729
195;-23,7032984;-47,0271244
196;-23,6036171;-46,6666213
197;-23,548568;-46,7491879
198;-23,571695;-46,77737
199;-23,5723611;-46,7449081
200;-23,6018091;-46,7340353
201;-23,4518367;-46,5091672
202;-23,6459109;-46,792687
203;-23,5652263;-46,7563129
204;-23,5619467;-46,7449279
205;-23,5341896;-46,8260242
206;-23,531693;-46,789925
207;-23,5768063;-46,7492875
208;-23,6020586;-46,7862244
209;-23,5784534;-46,7422072
210;-23,6137664;-46,6359265
211;-23,5190024;-46,6617895
212;-23,5536202;-46,6872401
213;-23,5281071;-46,804261
214;-23,5640402;-46,653495
